,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,ListOfAllPropertyUseTypes,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,DefaultData,Latitude,Longitude,ZipCode,log_SiteEnergyUse,log_TotalGHGEmissions
1720,2015,NonResidential,Medical Office,3.0,DOWNTOWN,1995,4.0,43813.0,Medical Office,Medical Office,76.0,1798899.0,12.54,True,47.59703102,-122.3168033,98144,14.402685924950777,2.605648267484129
2108,2015,SPS-District K-12,K-12 School,5.0,NORTHWEST,1953,1.0,110830.0,K-12 School,K-12 School,,,,True,47.69548916,-122.3401878,98103,,
1945,2015,NonResidential,"Restaurant
",7.0,DOWNTOWN,1902,2.0,40320.0,"Office, Restaurant",Restaurant,,3816695.0,119.01,False,47.61522339,-122.354154,98121,15.154895684856399,4.78757507264335
1305,2015,NonResidential,Other,7.0,DOWNTOWN,1904,7.0,44928.0,"Other, Personal Services (Health/Beauty, Dry Cleaning, etc), Restaurant, Retail Store",Other,,413919.0,4.43,False,47.60940552,-122.33934021,98101,14.752005111155329,3.923556241241819
1213,2015,NonResidential,Retail Store,5.0,NORTHWEST,2001,1.0,23696.0,"Parking, Retail Store",Retail Store,81.0,1392153.0,35.11,True,47.72569066,-122.3432661,98133,14.146362745941122,3.5865698352893665
1522,2015,NonResidential,Worship Facility,2.0,SOUTHEAST,1927,2.0,22029.0,,,100.0,91996.0,0.64,False,47.54179702,-122.2703046,98118,14.752005111155329,3.923556241241819
1577,2015,NonResidential,Small- and Mid-Sized Office,6.0,BALLARD,1903,3.0,24913.0,Office,Office,100.0,238255.0,3.59,False,47.6624069,-122.3730847,98107,14.752005111155329,3.923556241241819
1576,2015,NonResidential,Small- and Mid-Sized Office,6.0,BALLARD,1979,2.0,37448.0,Office,Office,88.0,2547582.0,45.9,False,47.66247704,-122.3695606,98107,14.750655624509996,3.8480176754522337
1404,2015,NonResidential,Non-Refrigerated Warehouse,2.0,SOUTHEAST,1952,1.0,27435.0,"Medical Office, Non-Refrigerated Warehouse",Non-Refrigerated Warehouse,49.0,1231546.0,36.72,False,47.54941353,-122.2866398,98118,14.023781660654096,3.6301904577652566
1451,2015,NonResidential,K-12 School,3.0,EAST,1905,1.0,83882.0,K-12 School,K-12 School,72.0,2539565.0,64.95,False,47.64171214,-122.3173859,98102,14.747503758253705,4.188896879163323
3037,2015,NonResidential,Small- and Mid-Sized Office,3.0,EAST,1920,2.0,21228.0,Office,Office,64.0,799996.0,5.58,True,47.613922,-122.316421,98122,13.592363256643033,3.923556241241819
2991,2015,NonResidential,Other,7.0,MAGNOLIA / QUEEN ANNE,2008,2.0,23098.0,Performing Arts,Performing Arts,,3058638.0,95.2,False,47.62526703,-122.35187531,98109,14.933480603746666,4.566429357671661
3272,2015,Campus,Other,7.0,MAGNOLIA / QUEEN ANNE,2002,4.0,49250.5,Other,Other,,2551022.25,49.58,False,47.62811223,-122.3742647,98119,14.752005111155329,3.923556241241819
